# List of crossterms parameters to be used in the Crossterms excluded-volume HRG model
# Only particle pairs with a non-zero eigenvolume parameter are listed here
#         pdg_i          pdg_j   b_{ij}[fm^3]
           3222          22222              1
           3222          21112              1
           3222          22122              1
           3222          21212              1
           3222          13216              1
           3222          13226              1
           3222          13116              1
           3222          22224              1
           3222          22114              1
           3222          22214              1
           3222          21114              1
           3222          11116              1
           3222          12226              1
           3222          11216              1
           3222          12126              1
           3222          23114              1
           3222          23224              1
           3222          23214              1
           3222           1118              1
           3222           2228              1
           3222           2118              1
           3222          33314              1
           3222          33324              1
           3222           2218              1
           3222           3326              1
           3222           3316              1
           3222           3118              1
           3222           3218              1
           3222           3228              1
           3222     1010000020        1.44275
           3222           3128              1
           3222          23126              1
           3222           1218              1
           3222           2128              1
           3222             91              1
           3222             92              1
           3222     1020000020        1.44275
           3222          33114              1
           3222          33214              1
           3222          33224              1
           3222             93              1
           3222             94              1
           3222          13334              1
           3222     1010010020        1.44275
           3222            911              1
           3222             99              1
           3222            910              1
           3222             97              1
           3222             98              1
           3222             95              1
