0.0227          -311 223             # D0 -> Kbar0 omega (PDG K0S 1.11% + K0L 1.16%)
0.0222          -311 111             # D0 -> Kbar0 pi0 (PDG K0S 1.24% + K0L 0.98%)
0.0202          -311 221 111         # D0 -> Kbar0 eta pi0 (PDG K0S 1.01% x2)
0.0188          -321 211 221         # D0 -> K- pi+ eta (PDG 1.88%) [NEW]
0.0176          -311 331             # D0 -> Kbar0 eta'(958) (PDG K0S 0.95% + K0L 0.81%)
0.0182          -311 111 111         # D0 -> Kbar0 2pi0 (PDG K0S 0.91% x2)
0.017           -311 111 223         # D0 -> Kbar0 pi0 omega (PDG K0S 0.85% x2)
0.0152          -311 111 111 111     # D0 -> Kbar0 3pi0 (PDG K0S 0.76% x2)
0.0101          213 -211             # D0 -> rho+ pi- (PDG BFX1 1.01%)
0.0048          211 -211 111         # D0 -> pi+pi-pi0 non-rho (1.49 - 1.01)
0.01            211 -211 111 111     # D0 -> pi+pi- 2pi0 (PDG 1.00%)
0.0095          -321 211 111 111 111 # D0 -> K- pi+ 3pi0 (PDG 0.95%) [NEW]
0.0094          -311 221             # D0 -> Kbar0 eta (PDG K0S 0.51% + K0L 0.43%)
0.009           -311 321 -321        # D0 -> Kbar0 K+K- (PDG K0S 0.45% x2)
0.0076          211 211 -211 -211    # D0 -> 2pi+2pi- (PDG 0.76%)
0.0068          -311 -321 211        # D0 -> Kbar0 K- pi+ (PDG K0S 0.34% x2)
0.0064          -321 211 331         # D0 -> K- pi+ eta'(958) (PDG 0.64%)
0.0048          211 211 -211 -211 111 111 # D0 -> 2pi+2pi- 2pi0 (PDG 0.48%)
0.0045          -321 211 111 221     # D0 -> K- pi+ pi0 eta (PDG 0.45%)
0.0041          321 -321             # D0 -> K+K- (PDG 0.41%)
0.0035          211 211 -211 -211 111 # D0 -> 2pi+2pi- pi0 (PDG 0.35%)
0.0034          321 -321 111         # D0 -> K+K- pi0 (PDG 0.34%)
0.0032          211 -211 111 221     # D0 -> pi+pi- pi0 eta (PDG 0.32%)
0.0031          321 -321 211 -211 111 # D0 -> K+K- pi+pi- pi0 (PDG 0.31%)
0.0452          211 -211 211 -211 111 # D0 -> catch-all (unmeasured modes)

411                                      # D+ (PDG2025 updated)
59                                       # 59 decay channels
0.0881          -311 -11 12          # D+ -> Kbar0 e+ nu_e (PDG 8.81%)
0.0868          -311 -13 14          # D+ -> Kbar0 mu+ nu_mu (PDG 8.68%)
0.054           -313 -11 12          # D+ -> Kbar*(892)0 e+ nu_e (PDG 5.40%)
0.0527          -313 -13 14          # D+ -> Kbar*(892)0 mu+ nu_mu (PDG 5.27%)
0.0037          111 -11 12           # D+ -> pi0 e+ nu_e (PDG 0.37%)
0.0035          111 -13 14           # D+ -> pi0 mu+ nu_mu (PDG 0.35%)
0.0011          221 -11 12           # D+ -> eta e+ nu_e (PDG 0.11%)
0.001           221 -13 14           # D+ -> eta mu+ nu_mu (PDG 0.10%)
0.0019          113 -11 12           # D+ -> rho0 e+ nu_e (PDG 0.19%)
0.0016          113 -13 14           # D+ -> rho0 mu+ nu_mu (PDG 0.16%)
0.0017          223 -11 12           # D+ -> omega e+ nu_e (PDG 0.17%)
0.0018          223 -13 14           # D+ -> omega mu+ nu_mu (PDG 0.18%)
0.0012          -15 16               # D+ -> tau+ nu_tau (PDG 0.12%)
0.0302          -311 211             # D+ -> Kbar0 pi+ (PDG K0S+K0L = 3.02%)
0.0834          -321 211 211         # D+ -> K- 2pi+ non-K* (PDG 9.38-1.04%)
0.0104          -313 211             # D+ -> Kbar*(892)0 pi+ (PDG BFX1 1.04%)
0.1228          -311 213             # D+ -> Kbar0 rho+ (PDG BFX1 K0S rho+ x2 = 12.28%)
0.0244          -311 211 111         # D+ -> Kbar0 pi+ pi0 non-rho (14.72-12.28%)
0.0625          -321 211 211 111     # D+ -> K- 2pi+ pi0 (PDG 6.25%)
0.062           -311 211 211 -211    # D+ -> Kbar0 2pi+ pi- (PDG K0Sx2 = 6.20%)
0.0578          -311 211 111 111     # D+ -> Kbar0 pi+ 2pi0 (PDG K0Sx2 = 5.78%) [NEW]
0.0141          -311 211 223         # D+ -> Kbar0 pi+ omega (PDG K0Sx2 = 1.41%) [NEW]
0.0165          -311 211 211 -211 111 # D+ -> Kbar0 2pi+pi-pi0 non-omega (3.06-1.41) [NEW]
0.0254          -311 211 221         # D+ -> Kbar0 pi+ eta (PDG K0Sx2 = 2.54%) [NEW]
0.0111          -311 211 111 111 111 # D+ -> Kbar0 pi+ 3pi0 (PDG K0Sx2 = 1.11%)
0.0057          -321 211 211 211 -211 # D+ -> K- 3pi+ pi- (PDG 0.57%)
0.005           -321 211 211 111 111 # D+ -> K- 2pi+ 2pi0 (PDG 0.50%)
0.0014          -321 211 211 221     # D+ -> K- 2pi+ eta (PDG 0.14%)
0.023           333 211 111          # D+ -> phi pi+ pi0 (PDG 2.30%)
0.015           321 -321 211 111     # D+ -> K+K- pi+ pi0 non-phi (PDG 1.50%)
0.0057          333 211              # D+ -> phi pi+ (PDG 0.57%)
0.004           321 -321 211         # D+ -> K+K- pi+ non-phi (0.97-0.57%)
0.012           -311 -311 211        # D+ -> Kbar0 Kbar0 pi+ (PDG K0SK0Sx4 = 1.20%)
